step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,0.59335,0.89602,,
2,0.59501,0.90068,,
3,0.67977,0.88713,,
4,0.69647,0.872,,
5,0.53743,0.89167,,
6,0.39066,0.93065,,
7,0.46356,0.91311,,
8,0.43442,0.89702,,
9,0.58375,0.88956,,
10,0.38339,0.90922,,
11,0.40476,0.91396,,
12,0.34709,0.90833,,
13,0.31171,0.91973,,
14,0.29379,0.92847,,
15,0.38342,0.90964,,
16,0.3239,0.908,,
17,0.29897,0.92243,,
18,0.26111,0.92683,,
19,0.1944,0.95284,,
20,0.24778,0.94302,,
21,0.26211,0.92811,,
22,0.22448,0.92475,,
23,0.20831,0.93663,,
24,0.21112,0.938,,
25,0.22574,0.94223,,
26,0.21291,0.94578,,
27,0.17586,0.95726,,
28,0.16383,0.95393,,
29,0.19361,0.94922,,
30,0.11898,0.96255,,
31,0.15013,0.95782,,
32,0.13029,0.96149,,
33,0.14447,0.95694,,
34,0.15104,0.95487,,
35,0.11494,0.96866,,
36,0.11275,0.96787,,
37,0.10409,0.96883,,
38,0.07929,0.97226,,
39,0.10539,0.96944,,
40,0.10062,0.96,,
41,0.07176,0.97426,,
42,0.08019,0.97111,,
43,0.0901,0.97551,,
44,0.12271,0.96791,,
45,0.06152,0.972,,
46,0.04937,0.9901,,
47,0.04103,0.98752,,
48,0.069,0.98095,,
49,0.0737,0.97778,,
50,0.08788,0.97038,,
51,0.0929,0.97176,,
52,0.0543,0.97992,,
53,0.05327,0.98349,,
54,0.06244,0.98238,,
55,0.06334,0.97721,,
56,0.03147,0.988,,
57,0.03682,0.98193,,
58,0.03855,0.99048,,
59,0.04919,0.98006,,
60,0.03875,0.989,,
61,0.04888,0.99028,,
62,0.0613,0.98166,,
63,0.0466,0.98645,,
64,0.01585,0.99723,,
65,0.02221,0.9901,,
66,0.07126,0.97946,,
67,0.01673,0.996,,
68,0.02707,0.99184,,
69,0.03871,0.99306,,
70,0.02475,0.99037,,
71,0.00975,0.99723,,
72,0.03034,0.98575,,
73,0.04673,0.98731,,
74,0.03402,0.9878,,
75,0.01329,0.99604,,
76,0.05446,0.9846,,
77,0.01779,0.99197,,
78,0.02303,0.99003,,
79,0.02773,0.99306,,
80,0.00922,1.0,,
81,0.01486,0.99398,,
82,0.00419,1.0,,
83,0.02893,0.98916,,
84,0.02074,0.99037,,
85,0.04475,0.9846,,
86,0.03671,0.98731,,
87,0.00789,1.0,,
88,0.02228,0.99456,,
89,0.03364,0.9859,,
90,0.02179,0.99456,,
91,0.01983,0.99145,,
92,0.00986,0.99799,,
93,0.02437,0.99322,,
94,0.0206,0.99444,,
95,0.03994,0.9846,,
96,0.01771,0.99312,,
97,0.00698,1.0,,
98,0.00263,1.0,,
99,0.00505,1.0,,
